"","Place.FIPS","Geography.Name","County.FIPS","County.Name","Total.Population","Population.Density..Per.Sq..Mile.","Area..Land.","Under.5.Years","X5.to.9.Years","X10.to.14.Years","X15.to.17.Years","X18.to.24.Years","X25.to.34.Years","X35.to.44.Years","X45.to.54.Years","X55.to.64.Years","X65.to.74.Years","X75.to.84.Years","X85.Years.and.Over","White.Alone","Black.or.African.American.Alone","American.Indian.and.Alaska.Native.Alone","Asian.Alone","Native.Hawaiian.and.Other.Pacific.Islander.Alone","Some.Other.Race.Alone","Two.or.More.Races","Not.Hispanic.or.Latino.","Hispanic.or.Latino","Population.25.Years.and.Over.","Less.than.High.School","High.School.Graduate..Includes.Equivalency.","Some.College","Bachelor.s.Degree","Master.s.Degree","Professional.School.Degree","Doctorate.Degree","Population.25.Years.and.Over..1","Less.than.High.School.1","High.School.Diploma","Bachelor.s.Degree.or.Better","Households.","Less.than..10.000","X.10.000.to..14.999","X.15.000.to..19.999","X.20.000.to..24.999","X.25.000.to..29.999","X.30.000.to..34.999","X.35.000.to..39.999","X.40.000.to..44.999","X.45.000.to..49.999","X.50.000.to..59.999","X.60.000.to..74.999","X.75.000.to..99.999","X.100.000.to..124.999","X.125.000.to..149.999","X.150.000.to..199.999","X.200.000.or.More","Median.Household.Income..In.2020.Inflation.Adjusted.Dollars.","Median.Household.Income.Occupied.Housing.Units.","Owner.Occupied","Renter.Occupied","Per.Capita.Income..In.2020.Inflation.Adjusted.Dollars.","Occupied.Housing.Units.","Owner.Occupied.1","Renter.Occupied.1","Owner.Occupied.Housing.Units.","White.Alone..Not.Hispanic.or.Latino.Homeowners.","Non.White.Homeowners","Owner.Occupied.Housing.Units..1","Less.than..20.000","X.20.000.to..49.999","X.50.000.to..99.999","X.100.000.to..149.999","X.150.000.to..299.999","X.300.000.to..499.999","X.500.000.to..749.999","X.750.000.to..999.999","X.1.000.000.or.More","Population.Under.18.Years.of.Age.for.Whom.Poverty.Status.Is.Determined.","Living.in.Poverty","At.or.Above.Poverty.Level","Population.Age.18.to.64.for.Whom.Poverty.Status..Is.Determined.","Living.in.Poverty.1","At.or.Above.Poverty.Level.1","Population.Age.65.and.Over.for.Whom.Poverty..Status.Is.Determined.","Living.in.Poverty.2","At.or.Above.Poverty.Level.2","Rural.Capacity..Headwaters.Index.","Social.Vulnerability..CDC.Index.","Percent.of.Land.in.500.Year.Floodplain","Percent.of.Land.in.100.Year.Floodplain","Total.Percent.of.Land.at.Some.Level.of.Flood.Risk","Application.Number","Project.Title","Project.Description","Applicant","Applicant.Type","Project.Type","Application.Date","State.Agency.Requested.for.Funding","Funding.Request....","Total.Project.Budget....","Funding.Decision.Year","Award.Date","Grant.Award....","Encumbered....","City.Town","County","Place.ID","X0.2.PCT.ANNUAL.CHANCE.FLOOD.HAZARD","X0.2.PCT.ANNUAL.CHANCE.FLOOD.HAZARD.CONTAINED.IN.CHANNEL","X0.2.PCT.ANNUAL.CHANCE.HAZARD","A","AE","VE","X.blank.","Grand.Total"
"123",3712480,"China Grove town","159","Rowan",4225,1182.1,3.57,228,162,135,155,331,825,145,841,645,343,288,127,3674,106,0,49,0,255,141,3737,488,3214,762,997,972,393,32,15,43,3214,762,1969,483,2011,48,278,304,149,66,51,174,32,13,106,190,397,120,24,24,35,38710,38710,61394,16740,28829,2011,1242,769,1242,1086,156,1242,91,49,283,421,305,60,13,0,20,680,225,455,2776,621,2155,741,18,723,68,0.58,0.24,3,3.23,NA,"","","","","","","",NA,NA,NA,"",NA,NA,"","",NA,0.24,NA,NA,NA,3,NA,NA,3.23
"124",3712520,"Chinquapin CDP","61","Duplin",9,6.5,1.39,0,0,0,4,0,0,0,0,5,0,0,0,4,5,0,0,0,0,0,9,0,5,5,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,5,5,0,0,0,0,NA,0.74,0,51,51,1,"Flood mitigation Currie/Duplin street","The stormwater drainage canal located between Duplin and Currie Streets in Wallace experiences flooding during major storms and periods of heavy rainfall occurring within a short period of time. Continued flooding has resulted in caving in and widening of the canal which is now in danger of undermining nearby houses. Previous efforts by the Town to haul in dirt to shore up the bank have not provided a viable long term solution. Golden LEAF flood mitigation grant funds will be used to install sheet piling and rip rap along the bank to stop erosion, improve the transport of stormwater, and significantly reduce flooding along the canal. This canal carries one third of total stormwater for the town and connects downstream to the main branch of Little Rockfish Creek, which is the town’s main drainage area. There are two households in the immediate project area. The flooding and erosion also threaten a main sewer line that crosses over and runs parallel to the canal,  and which must be inspected for damage and exposure after each heavy rain event.
","Town of Wallace","Local Government","Infrastructure","2/22/22","Golden LEAF Foundation Flood Mitigation Program",NA,NA,2022,"6/2/22",250000,250000,"Wallace","Duplin",NA,NA,NA,NA,NA,51,NA,NA,51
"125",3712580,"Chocowinity town","13","Beaufort",1331,1321.5,1.01,122,128,103,61,59,275,181,95,108,110,45,44,439,717,0,0,0,163,12,1168,163,858,87,376,328,52,15,0,0,858,87,704,67,609,36,144,52,19,79,67,13,10,37,29,22,78,10,10,3,0,26996,26996,NA,27127,18460,609,191,418,191,142,49,191,3,36,86,37,26,3,0,0,0,401,110,291,718,168,550,199,79,120,56,0.79,0.53,0.74,1.27,12,"Town of Aurora Drainage Ditch and Tributary Maintenance and Easement Plan","The Town of Aurora experiences frequent flooding in heavy rainfall events, specifically in the northeast section of town. The ditches and tributaries no longer empty water at the speed at which they did previously. Aurora participated in the N.C. Resilient Coastal Communities Program and, through a public input process, prioritized assessing this existing infrastructure to address flooding. Golden LEAF flood mitigation grant funds will be used to create a maintenance plan and schedule for all the ditches and tributaries within the town’s jurisdiction and to determine a list of easements that will be required to implement the recommendations for maintenance. The entire town will benefit from the completion of this project.","Town of Aurora","Local Government","Planning","4/27/22","Golden LEAF Foundation Flood Mitigation Program",NA,NA,2022,"8/4/22",225000,225000,"Aurora","Beaufort",NA,0.53,NA,NA,NA,0.74,NA,NA,1.27
"126",3712590,"Chowan Beach CDP","41","Chowan",360,2273.1,0.16,0,0,15,0,63,7,27,111,56,60,21,0,360,0,0,0,0,0,0,360,0,282,81,39,127,22,0,0,13,282,81,166,35,193,27,36,68,13,0,0,17,0,0,0,0,13,19,0,0,0,16232,16232,NA,NA,16281,193,106,87,106,106,0,106,19,17,43,0,0,27,0,0,0,15,15,0,264,133,131,81,14,67,NA,0.45,0.13,19.47,19.6,5,"Edenton Old Hertford Hazard Mitigation Project 2022","The eastern portion of Edenton is subject to stormwater flooding due to the limited capacity of downstream culverts that extend under Old Hertford Road. Golden LEAF flood mitigation grant funds will be used to replace an existing pipe under Old Hertford Road with a box culvert design and replace existing piping downstream of Old Hertford Road with two larger lines. Improving the transport of stormwater runoff from this area will also allow the town to focus on upstream improvements previously limited by this downstream bottleneck. There are households, businesses and residential care homes for adults with special needs in the immediate project area. Due to the bottleneck in this area, areas upstream feel impacts from flooding as well.","Town of Edenton","Local Government","Infrastructure","2/28/22","Golden LEAF Foundation Flood Mitigation Program",NA,NA,2022,"6/2/22",249300,249300,"Edenton","Chowan",NA,0.13,NA,NA,NA,19.47,NA,NA,19.6
"127",3712720,"Claremont city","35","Catawba",1924,675.4,2.85,118,200,71,137,91,173,234,367,210,199,89,35,1613,50,0,58,0,10,193,1722,202,1307,109,472,456,166,62,25,17,1307,109,928,270,817,32,40,31,13,61,17,93,65,33,61,60,132,84,42,25,28,54830,54830,70000,39409,29580,817,532,285,532,498,34,532,1,3,150,80,224,72,2,0,0,513,6,507,1075,86,989,323,46,277,71,0.52,2,3.37,5.36,NA,"","","","","","","",NA,NA,NA,"",NA,NA,"","",NA,2,NA,NA,NA,3.37,NA,NA,5.36
"128",3712780,"Clarkton town","17","Bladen",972,780.3,1.25,89,91,141,31,97,87,106,106,75,83,44,22,363,585,0,0,0,24,0,933,39,523,68,173,219,40,5,0,18,523,68,392,63,337,78,48,68,17,0,6,2,8,22,28,14,34,3,9,0,0,17875,17875,19583,15529,12668,337,156,181,156,106,50,156,6,10,62,33,44,1,0,0,0,352,215,137,471,191,280,144,21,123,46,0.87,0,0.31,0.31,7,"Elizabethtown Stormwater Master Plan and Assessment, Phase 1","Elizabethtown experiences frequent flooding with more noticeable impacts in its central subbasin, eastern subbasin, and along Glenwood Drive in the western part of the town. The town is characterized by fairly flat, low-lying topography, which causes floodwaters to stand longer. Golden LEAF flood mitigation grant funds will be used to develop a Stormwater Master Plan. Components of this project include updating the town’s asset inventory, field data collection, modeling of existing watersheds, development of concept plans, and a summary report that will include recommendations. As this is a town-wide project, the benefiting population includes all households and public and private entities in the town.","Town of Elizabethtown","Local Government","Planning","3/9/22","Golden LEAF Foundation Flood Mitigation Program",NA,NA,2022,"6/2/22",132000,132000,"Elizabethtown","Bladen",NA,NA,NA,NA,NA,0.31,NA,NA,0.31
"129",3712860,"Clayton town","101","Johnston",23179,1520.6,15.24,1791,1353,1426,1001,1909,4326,2949,3106,2405,1568,1161,184,15401,5422,228,157,0,1297,674,19456,3723,15699,993,3763,6125,2825,1422,174,397,15699,993,9888,4818,8337,239,578,275,318,487,247,236,253,442,895,1059,1260,861,317,381,489,61954,61954,67926,41673,31035,8337,5342,2995,5342,3401,1941,5342,160,151,289,876,2923,892,39,12,0,5543,648,4895,14675,1172,13503,2842,275,2567,NA,0.46,1.09,6.63,7.72,23,"Selma Flood Mitigation modeling","The Town of Selma experiences flooding during heavy non-named rain events in the northeast quadrant of town. The town is separated in four quadrants that are separated by railroads crossing through the center of town. Each quadrant has its own individual internal drainage creating a bowl type system. Golden LEAF flood mitigation grant funds will be used to develop a stormwater master plan for the Town of Selma in the northeastern quadrant. Components of this project include field data collection, modeling of existing watersheds, development of concept plans and alternatives, and a summary report. Within this quadrant there are households, businesses, other public and private facilities, and healthcare facilities that will benefit from this project. Additionally, the Town Hall, the Selma Fire Department, and the historic Rudy Theater are located in this area. The roads around the fire and EMS stations become impassable. Access to US highway 301 also becomes restricted during flood events. ","Town of Selma","Local Government","Planning","7/7/22","Golden LEAF Foundation Flood Mitigation Program",NA,NA,2022,"10/6/22",137500,137500,"Selma","Johnston",NA,1.09,NA,NA,NA,6.63,NA,NA,7.72
"130",3712960,"Clemmons village","67","Forsyth",20574,1730.5,11.89,1137,1708,1347,716,1480,2253,2580,2835,2556,2072,1457,433,16944,1318,71,1033,0,151,1057,18758,1816,14186,798,2151,4208,4475,1824,345,385,14186,798,6359,7029,7922,163,190,285,214,405,324,366,465,248,586,730,998,886,600,637,825,74679,74679,94187,41543,38162,7922,5812,2110,5812,5035,777,5812,120,67,297,541,3178,1422,140,30,17,4891,271,4620,11678,495,11183,3866,189,3677,85,0.3,0.5,8.43,8.93,18,"Thomas Drake Ct Project","The Town of Kernersville discovered a sizable hole and longitudinal fractures during inspection of the culvert crossing on Thomas Drake Court. Failure of the culvert would lead to the development of a sinkhole, loss of the road, area flooding and potential property damage for residents. Loss of the road would also prevent access for emergency services. An existing sewer line could also be undermined causing failure resulting in loss of services as well as wastewater entering the channel. Golden LEAF flood mitigation grant funds will be used to replace the existing damaged culvert. The project will include removal of the failing corrugated metal pipe and replace it with reinforced concrete pipe (RCP). The culvert will be extended upstream of the crossing. The extension will provide protection to the adjacent sewer line. Downstream of the culvert crossing, two driveway culvert crossings will be abandoned in place and the new RCP installed with tie-in to the proposed headwall. Stream realignment and stabilization grading both upstream and downstream will better direct flow and prevent further erosion. Households located in the immediate project area in the section of Thomas Drake Court from the culvert crossing northward to the cul-de-sac will directly benefit from this project.","Town of Kernersville","Local Government","Infrastructure","5/20/22","Golden LEAF Foundation Flood Mitigation Program",NA,NA,2022,"10/6/22",250000,250000,"Kernersville","Forsyth",NA,0.5,NA,NA,NA,8.43,NA,NA,8.93
"131",3713000,"Cleveland town","159","Rowan",1147,747.3,1.53,84,65,82,63,75,200,127,118,140,116,70,7,679,465,0,0,0,0,3,1047,100,778,94,266,242,134,23,0,19,778,94,508,176,425,33,26,15,29,0,8,74,14,16,43,47,85,21,5,7,2,48750,48750,57188,20556,21376,425,315,110,315,180,135,315,16,27,18,129,125,0,0,0,0,294,137,157,660,86,574,193,15,178,7,0.49,0,0.71,0.71,NA,"","","","","","","",NA,NA,NA,"",NA,NA,"","",NA,NA,NA,NA,NA,0.71,NA,NA,0.71
"132",3713100,"Cliffside CDP","161","Rutherford",707,303.8,2.33,0,24,19,0,163,147,36,175,80,63,0,0,645,62,0,0,0,0,0,707,0,501,19,313,86,83,0,0,0,501,19,399,83,278,0,0,62,0,0,49,0,0,22,38,18,89,0,0,0,0,52895,52895,53500,NA,19450,278,238,40,238,176,62,238,0,62,87,65,24,0,0,0,0,43,0,43,601,0,601,63,0,63,NA,0.73,0,8.06,8.06,NA,"","","","","","","",NA,NA,NA,"",NA,NA,"","",NA,NA,NA,NA,NA,8.06,NA,NA,8.06
"133",3713240,"Clinton city","163","Sampson",8480,1111.4,7.63,574,508,503,325,613,896,953,922,1148,970,675,393,3752,3327,134,185,0,513,569,6998,1482,5957,1200,1802,1600,851,381,80,43,5957,1200,3402,1355,3125,419,292,246,299,163,190,185,114,105,214,194,258,170,82,65,129,33679,33679,52895,21225,24456,3125,1630,1495,1630,922,708,1630,12,80,491,304,546,163,22,12,0,1906,889,1017,4112,945,3167,1780,277,1503,76,0.94,0,6.02,6.02,9,"Clinton Weeks Street Hazard Mitigation Project 2022","The City of Clinton experiences frequent flooding along Weeks Street, including three major flooding events in 2021. During flooding events along Weeks Street, emergency vehicles are unable to access residences and surrounding roads (including Highway 24) are overtopped. A 2020 preliminary drainage feasibility study found that flooding is likely caused by an undersized pipe system with minimal elevation change. Currently, the existing drainage route runs along Weeks Street into the drainage route from Smithfield Packing Company. Golden LEAF flood mitigation grant funds will be used to reroute the existing drainage system into a separate path to cross Highway 24 and into an existing farm ditch. Additional curb inlets and reinforced concrete pipe will be installed to support the design. City and other funds will be used to improve the existing farm ditch which currently collects runoff. Households in the project area and vehicles traveling on adjacent roads will benefit from this project.","Town of Clinton","Local Government","Infrastructure","2/28/22","Golden LEAF Foundation Flood Mitigation Program",NA,NA,2022,"8/4/22",250000,250000,"Clinton","Sampson",NA,NA,NA,NA,NA,6.02,NA,NA,6.02
"134",3713280,"Clyde town","87","Haywood",1483,1709.1,0.87,68,33,33,53,147,206,267,237,185,121,117,16,1258,1,0,0,0,17,207,1174,309,1149,72,401,435,150,41,7,43,1149,72,836,241,577,48,13,22,26,23,24,26,9,18,95,110,84,50,0,18,11,57721,57721,68958,25000,28948,577,459,118,459,401,58,459,60,0,30,97,231,25,16,0,0,187,14,173,1042,71,971,254,15,239,68,0.56,4.86,32.51,37.37,NA,"","","","","","","",NA,NA,NA,"",NA,NA,"","",NA,NA,NA,4.86,NA,32.51,NA,NA,37.37
"135",3713460,"Cofield village","91","Hertford",421,134,3.14,14,13,54,16,36,32,69,49,69,45,10,14,59,332,18,2,0,9,1,406,15,288,54,82,68,44,38,2,0,288,54,150,84,168,2,9,16,15,2,9,6,10,4,26,20,23,11,5,10,0,54091,54091,62500,39583,22672,168,114,54,114,22,92,114,7,17,51,11,22,4,0,2,0,97,29,68,255,29,226,69,34,35,47,0.9,3.39,0.85,4.24,NA,"","","","","","","",NA,NA,NA,"",NA,NA,"","",NA,3.39,NA,NA,NA,0.85,NA,NA,4.24
"136",3713500,"Coinjock CDP","53","Currituck",379,451.4,0.84,14,12,26,12,20,80,121,17,24,23,30,0,284,56,0,8,0,0,31,334,45,295,47,55,107,86,0,0,0,295,47,162,86,109,6,0,0,0,10,0,10,0,0,59,15,0,0,0,0,9,54875,54875,55461,NA,18642,109,99,10,99,85,14,99,0,6,0,30,63,0,0,0,0,64,0,64,262,0,262,53,12,41,NA,0.42,3.57,71.03,74.6,NA,"","","","","","","",NA,NA,NA,"",NA,NA,"","",NA,3.57,NA,NA,NA,71.03,NA,NA,74.6
"137",3713940,"Columbia town","177","Tyrrell",678,558.1,1.21,20,80,59,21,32,86,69,20,68,134,44,45,315,300,0,0,0,57,6,563,115,466,128,160,144,19,15,0,0,466,128,304,34,342,79,58,52,18,6,14,6,11,0,86,5,5,0,0,0,2,17024,17024,NA,13472,14658,342,166,176,166,118,48,166,13,13,72,60,8,0,0,0,0,180,127,53,275,117,158,223,49,174,61,0.79,0,100,100,NA,"","","","","","","",NA,NA,NA,"",NA,NA,"","",NA,NA,NA,NA,NA,100,NA,NA,100
