Place FIPS,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,0.2 PCT ANNUAL CHANCE FLOOD HAZARD CONTAINED IN CHANNEL,0.2 PCT ANNUAL CHANCE HAZARD,A,AE,VE,(blank),Grand Total
3765020.00,,,,,5.68,,,5.68
3765040.00,0.65,,,,3.57,,,4.22
3765120.00,12.83,,,,63.99,,,76.82
3765260.00,,,,,1.91,,,1.91
3765580.00,0.56,,,,5.01,,,5.57
3765700.00,4.58,,,,26.59,,,31.17
3765900.00,4.48,,,,20.26,20.02,,44.75
3766040.00,0.85,,,1.25,36.02,27.76,,65.89
3766280.00,1.47,,,,5.88,,,7.35
3766340.00,,,,,96.81,3.19,,100.00
3766360.00,1.88,,,,5.65,6.14,,13.67
3766460.00,0.55,,,,11.95,,,12.50
3766500.00,0.98,,,,5.70,,,6.68
3766520.00,,,,,8.22,,,8.22
3766700.00,5.06,,,,16.64,,,21.71
3766960.00,,,,,1.98,,,1.98
3766980.00,,,,,4.38,,,4.38
3767420.00,0.62,,,,4.03,,,4.65
3767700.00,0.55,,,,8.82,,,9.37
3767720.00,0.49,,,,4.36,,,4.85
3768040.00,0.05,,,,32.22,65.92,,98.18
3768320.00,40.97,,,,29.76,,,70.73
3768340.00,5.79,,,,32.13,,,37.92
3768400.00,0.46,,,,3.12,,,3.59
3768500.00,,,,,3.69,,,3.69
3768520.00,0.11,,,,1.76,,,1.87
3768580.00,0.83,,,,8.91,,,9.74
3768740.00,,,,,10.60,,,10.60
3769020.00,0.12,,,,1.75,,,1.87
3769260.00,0.15,,,,4.16,,,4.31
3769520.00,0.17,,,,7.21,,,7.38
3769600.00,1.11,,,,10.61,,,11.73
3769640.00,,,0.31,,5.88,,,6.19
3769680.00,5.03,,,,30.64,,,35.67
3769720.00,,,,,97.54,,,97.54
3769755.00,,,,,1.36,,,1.36
3769795.00,6.90,,,,17.87,,,24.77
3769840.00,,,,,0.36,,,0.36
3770320.00,,,,,5.76,,,5.76
3770340.00,2.71,,,,0.53,,,3.24
3770380.00,,,,,2.61,,,2.61
3770480.00,0.09,,,,0.90,,,1.00
3770540.00,0.78,,,0.02,9.19,,,9.99
3770580.00,,,,,10.41,,,10.41
3770660.00,0.41,,,,2.31,,,2.72
3770720.00,0.60,,,,9.81,,,10.41
3770740.00,0.09,,,,3.04,,,3.13
3770780.00,,,,,15.81,,,15.81
3770820.00,1.43,,,,21.97,,,23.39
3770920.00,4.43,,,,85.78,9.80,,100.00
3771100.00,,,,,0.21,,,0.21
3771160.00,,,,,2.33,,,2.33
3771220.00,9.55,,,,42.50,,,52.05
3771240.00,2.27,,,,89.56,,,91.83
3771320.00,2.04,,,1.90,6.43,,,10.37
3771440.00,,,,,74.94,23.00,,97.93
3771460.00,0.74,,,,7.49,,,8.23
3771500.00,,,1.35,,12.05,,,13.40
3771560.00,0.45,,,,2.13,,,2.57
3771600.00,1.22,,,,8.44,,,9.67
3771680.00,0.30,,,,6.09,,,6.39
3771760.00,0.07,,,,3.94,,,4.01
3771780.00,9.59,,,,25.56,,,35.14
3771860.00,1.04,,,,6.45,,,7.49
3771900.00,,,,,0.72,,,0.72
3771940.00,0.73,,,,9.19,,,9.92
3772150.00,,,1.33,,4.61,,,5.94
3772540.00,0.46,,,,3.70,,,4.16
3772600.00,,,,,1.07,,,1.07
3772755.00,,,,,34.81,,,34.81
3773140.00,1.92,,,,11.91,,,13.83
3773160.00,1.88,,,,8.57,,,10.45
3773300.00,,,,,0.00,,,0.00
3773320.00,,,,,22.73,,,22.73
3773460.00,0.67,,,,4.96,,,5.63
3773660.00,1.95,,,,19.26,,,21.21
3773780.00,3.83,,,,17.66,,,21.49
3774020.00,3.98,,,,15.83,,,19.81
3774220.00,6.00,,,,8.38,,,14.38
3774440.00,4.22,,,,12.78,2.14,,19.14
3774540.00,2.63,,,,16.69,,,19.31
3774580.00,0.14,,,,3.98,,,4.12
3774680.00,9.86,,,,22.65,,,32.51
3774720.00,2.34,,,,21.54,,,23.88
3774760.00,0.43,,,,4.39,,,4.82
3775000.00,0.58,,,,6.87,,,7.46
3775060.00,1.55,,,,7.14,,,8.69
3775080.00,,,,,7.23,,,7.23
3775280.00,1.20,,,,8.07,,,9.26
3775340.00,,,,,2.75,,,2.75
3775375.00,0.45,,,,8.74,,,9.19
3775780.00,1.02,,,,23.96,,,24.98
3775820.00,0.72,,,,59.29,39.54,,99.54
3775880.00,,,,,18.05,,,18.05
3775960.00,,,,,0.09,,,0.09
3776000.00,0.01,,,,4.78,,,4.79
3776200.00,,,,,1.29,,,1.29
3776220.00,0.58,,,0.13,3.58,,,4.29
