"","Geography.Name","Grant.Award....","Total.Percent.of.Land.at.Some.Level.of.Flood.Risk","Ratio.Risk"
"105","Governors Village CDP",210000,11.65,18025.7510729614
"106","Elizabethtown town",132000,7.24,18232.044198895
"107","Barker Ten Mile CDP",122500,6.59,18588.7708649469
"108","Erwin town",225250,12,18770.8333333333
"109","Tabor City town",175000,8.22,21289.5377128954
"110","Carolina Shores town",250000,11.16,22401.4336917563
"111","Fairmont town",250000,10.91,22914.7571035747
"112","Atkinson town",250000,10.76,23234.2007434944
"113","Butner town",125000,5.38,23234.2007434944
"114","Bonnetsville CDP",250000,10.48,23854.9618320611
"115","Cerro Gordo town",175000,7.28,24038.4615384615
"116","Lumber Bridge town",250000,10.37,24108.0038572806
"117","Hampstead CDP",250000,10.17,24582.1042281219
"118","Neuse Forest CDP",249760,9.83,25407.9348931841
"119","Neuse Forest CDP",250000,9.83,25432.3499491353
"120","Kenansville town",250000,9.75,25641.0256410256
"121","Deep Run CDP",250000,9.5,26315.7894736842
"122","Bowdens CDP",250000,9.47,26399.1552270327
"123","Clemmons village",250000,8.93,27995.5207166853
"124","Oxford city",125000,4.33,28868.3602771363
"125","Siler City town",210000,7.08,29661.0169491525
"126","Maxton town",250000,8.41,29726.5160523187
"127","Four Oaks town",137500,4.55,30219.7802197802
"128","Dunn city",225250,7.07,31859.9717114569
"129","Albemarle city",250000,7.83,31928.4802043423
"130","Gulf CDP",210000,6.21,33816.4251207729
"131","Marietta town",250000,7.3,34246.5753424658
"132","Evergreen CDP",175000,5.04,34722.2222222222
"133","Orrum town",250000,6.99,35765.3791130186
"134","Biltmore Forest town",150000,4,37500
"135","Newton Grove town",250000,6.6,37878.7878787879
"136","Barker Ten Mile CDP",250000,6.59,37936.2670713202
"137","Emma CDP",150000,3.92,38265.306122449
"138","Fairview CDP",150000,3.66,40983.606557377
"139","Clinton city",250000,6.02,41528.2392026578
"140","Boiling Spring Lakes city",250000,5.73,43630.017452007
"141","Kernersville town",250000,5.27,47438.330170778
"142","Archer Lodge town",137500,2.25,61111.1111111111
"143","Anderson Creek CDP",225250,3.59,62743.7325905293
"144","McDonald town",122500,1.95,62820.5128205128
"145","Angier town",225250,3.26,69095.0920245399
