Geography Name,County FIPS,County Name,Place FIPS,Total Population,Population Density (Per Sq. Mile),Area (Land),Under 5 Years,5 to 9 Years,10 to 14 Years,15 to 17 Years,18 to 24 Years,25 to 34 Years,35 to 44 Years,45 to 54 Years,55 to 64 Years,65 to 74 Years,75 to 84 Years,85 Years and Over,White Alone,Black or African American Alone,American Indian and Alaska Native Alone,Asian Alone,Native Hawaiian and Other Pacific Islander Alone,Some Other Race Alone,Two or More Races,Not Hispanic or Latino:,Hispanic or Latino,Population 25 Years and Over:,Less than High School,High School Graduate (Includes Equivalency),Some College,Bachelor's Degree,Master's Degree,Professional School Degree,Doctorate Degree,Population 25 Years and Over:.1,Less than High School.1,High School Diploma,Bachelor's Degree or Better,Households:,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or More",Median Household Income (In 2020 Inflation Adjusted Dollars),Median Household Income Occupied Housing Units:,Owner Occupied,Renter Occupied,Per Capita Income (In 2020 Inflation Adjusted Dollars),Occupied Housing Units:,Owner Occupied.1,Renter Occupied.1,Owner Occupied Housing Units:,"White Alone, Not Hispanic or Latino Homeowners ",Non-White Homeowners,Owner-Occupied Housing Units:,"Less than $20,000","$20,000 to $49,999","$50,000 to $99,999","$100,000 to $149,999","$150,000 to $299,999","$300,000 to $499,999","$500,000 to $749,999","$750,000 to $999,999","$1,000,000 or More",Population Under 18 Years of Age for Whom Poverty Status Is Determined:,Living in Poverty,At or Above Poverty Level,Population Age 18 to 64 for Whom Poverty Status  Is Determined:,Living in Poverty.1,At or Above Poverty Level.1,Population Age 65 and Over for Whom Poverty  Status Is Determined:,Living in Poverty.2,At or Above Poverty Level.2,Rural Capacity (Headwaters Index),Social Vulnerability (CDC Index),Percent of Land in 500-Year Floodplain,Percent of Land in 100-Year Floodplain,Total Percent of Land at Some Level of Flood Risk,Application Number,Project Title,Project Description ,Applicant,Applicant Type,Project Type,Application Date,State Agency Requested for Funding,Funding Request ($),Total Project Budget ($),Funding Decision Year,Award Date,Grant Award ($),Encumbered ($),City/Town,County,Place ID
Cove City town,49,Craven,3715020.0,607.0,951.9,0.64,32.0,47.0,28.0,29.0,16.0,39.0,53.0,69.0,122.0,65.0,37.0,70.0,418.0,182.0,0.0,0.0,0.0,4.0,3.0,587.0,20.0,455.0,82.0,159.0,121.0,40.0,35.0,18.0,0.0,455.0,82.0,280.0,93.0,238.0,11.0,7.0,5.0,14.0,40.0,22.0,9.0,6.0,11.0,18.0,15.0,46.0,26.0,0.0,4.0,4.0,47857.0,47857.0,50313.0,,26572.0,238.0,159.0,79.0,159.0,89.0,70.0,159.0,6.0,24.0,82.0,13.0,29.0,2.0,2.0,0.0,1.0,132.0,46.0,86.0,299.0,22.0,277.0,172.0,5.0,167.0,55.0,0.83,,,,22.0,Rose Street Pump Retrofit,"The City of New Bern experiences flooding along Rose Street in the Duffyfield community during frequent rain events. The flooding can take up to 2 weeks to fully dewater. In 2020, the city completed a multiphase feasibility study to create the Duffyfield Resiliency Improvement Initiative. Retrofitting of the stormwater pump station on Rose Street was identified as one of the projects to reduce repetitive flooding in this area. Golden LEAF flood mitigation grant funds will be used to modify the existing stormwater pump to allow for better mitigation against larger storm events and lowering the water levels in the Duffyfield community. The city is currently pursuing funding from the NC Land and Water Fund, the NC DOJ Environmental Enhancement Grant, and a Resilient Coastal Communities Grant to implement strategies identified. There are households, businesses, other public and private entities, and a healthcare facility that are in the immediate project area that will benefit from this project. ",City of New Bern,Local Government,Infrastructure,6/30/22,Golden LEAF Foundation Flood Mitigation Program,,,2022.0,10/6/22,249760.0,249760.0,New Bern,Craven,
Cove Creek CDP,189,Watauga,3715040.0,1087.0,127.3,8.54,63.0,4.0,0.0,114.0,24.0,81.0,125.0,184.0,116.0,348.0,21.0,7.0,917.0,0.0,0.0,0.0,0.0,170.0,0.0,917.0,170.0,882.0,86.0,209.0,325.0,181.0,66.0,0.0,15.0,882.0,86.0,534.0,262.0,440.0,7.0,61.0,0.0,14.0,0.0,20.0,22.0,25.0,73.0,60.0,54.0,33.0,22.0,27.0,16.0,6.0,47432.0,47432.0,50926.0,,27296.0,440.0,394.0,46.0,394.0,374.0,20.0,394.0,7.0,2.0,8.0,39.0,211.0,90.0,37.0,0.0,0.0,181.0,91.0,90.0,530.0,71.0,459.0,376.0,23.0,353.0,,0.46,0.17,2.82,2.99,,,,,,,,,,,,,,,,,
Cramerton town,71,Gaston,3715260.0,4417.0,1145.2,3.86,249.0,350.0,254.0,81.0,215.0,726.0,547.0,681.0,720.0,331.0,210.0,53.0,3616.0,400.0,66.0,181.0,0.0,73.0,81.0,4281.0,136.0,3268.0,152.0,813.0,1037.0,851.0,280.0,97.0,38.0,3268.0,152.0,1850.0,1266.0,1757.0,16.0,57.0,7.0,22.0,63.0,85.0,43.0,80.0,31.0,124.0,182.0,391.0,169.0,116.0,234.0,137.0,87927.0,87927.0,97000.0,75426.0,42714.0,1757.0,1168.0,589.0,1168.0,1064.0,104.0,1168.0,7.0,7.0,68.0,254.0,467.0,201.0,139.0,0.0,25.0,924.0,22.0,902.0,2889.0,94.0,2795.0,578.0,44.0,534.0,85.0,0.3,1.23,17.65,18.89,,,,,,,,,,,,,,,,,
Creedmoor city,77,Granville,3715320.0,4539.0,849.1,5.35,520.0,360.0,151.0,240.0,438.0,520.0,694.0,796.0,347.0,257.0,213.0,3.0,2472.0,1405.0,34.0,29.0,83.0,48.0,468.0,4109.0,430.0,2830.0,272.0,686.0,874.0,667.0,276.0,46.0,9.0,2830.0,272.0,1560.0,998.0,1657.0,76.0,103.0,34.0,30.0,0.0,0.0,128.0,93.0,12.0,114.0,212.0,308.0,200.0,224.0,76.0,47.0,78119.0,78119.0,81638.0,,29106.0,1657.0,1458.0,199.0,1458.0,912.0,546.0,1458.0,15.0,0.0,27.0,296.0,1085.0,35.0,0.0,0.0,0.0,1261.0,227.0,1034.0,2792.0,410.0,2382.0,467.0,49.0,418.0,75.0,0.28,0.0,11.86,11.86,10.0,Oxford Stormwater Master Plan,"The City of Oxford experiences flooding throughout the city during heavy, unnamed, non-tropical rain events. During these flooding events, public works staff cannot access critical infrastructure at the wastewater treatment plant. The city has begun to prioritize stormwater management over the past few years including stormwater mitigation efforts along Goshen Street. To create a master plan, the applicant is requesting Golden LEAF flood mitigation grant funds to map stormwater infrastructure within the entire jurisdiction and perform modeling along sub-basins west and parallel to College Street and Martin Luther King Jr. Avenue. Additional data collection, modeling of existing watersheds, and the development of concept plans and alternatives will also be completed. The city plans to use the data acquired from this project for future stormwater improvement grant opportunities and to prioritize projects funded by their stormwater utility fund. The entire city will benefit from this project.",City of Oxford,Local Government,Planning,3/9/22,Golden LEAF Foundation Flood Mitigation Program,,,2022.0,8/4/22,125000.0,125000.0,Oxford,Granville,
Creswell town,187,Washington,3715420.0,161.0,284.5,0.57,12.0,3.0,5.0,0.0,19.0,16.0,17.0,27.0,27.0,3.0,26.0,6.0,92.0,54.0,12.0,0.0,0.0,3.0,0.0,146.0,15.0,122.0,12.0,69.0,28.0,12.0,1.0,0.0,0.0,122.0,12.0,97.0,13.0,89.0,17.0,11.0,0.0,13.0,10.0,1.0,5.0,1.0,10.0,6.0,2.0,10.0,0.0,0.0,0.0,3.0,25875.0,25875.0,27125.0,,37219.0,89.0,43.0,46.0,43.0,31.0,12.0,43.0,0.0,0.0,10.0,26.0,7.0,0.0,0.0,0.0,0.0,20.0,8.0,12.0,106.0,21.0,85.0,35.0,7.0,28.0,43.0,0.79,1.23,20.43,21.66,,,,,,,,,,,,,,,,,
Cricket CDP,193,Wilkes,3715440.0,2453.0,693.6,3.54,73.0,151.0,247.0,89.0,383.0,406.0,239.0,236.0,236.0,301.0,82.0,10.0,2216.0,8.0,0.0,0.0,0.0,190.0,39.0,2032.0,421.0,1510.0,343.0,585.0,339.0,211.0,17.0,0.0,15.0,1510.0,343.0,924.0,243.0,934.0,33.0,15.0,44.0,50.0,61.0,260.0,37.0,15.0,34.0,106.0,170.0,35.0,24.0,35.0,0.0,15.0,35345.0,35345.0,54107.0,31547.0,19410.0,934.0,515.0,419.0,515.0,433.0,82.0,515.0,20.0,26.0,176.0,198.0,76.0,10.0,0.0,0.0,9.0,533.0,245.0,288.0,1500.0,258.0,1242.0,393.0,15.0,378.0,56.0,0.76,0.03,0.35,0.38,,,,,,,,,,,,,,,,,
Crossnore town,11,Avery,3715580.0,146.0,326.1,0.45,9.0,0.0,49.0,50.0,0.0,4.0,12.0,0.0,7.0,15.0,0.0,0.0,112.0,34.0,0.0,0.0,0.0,0.0,0.0,146.0,0.0,38.0,0.0,7.0,22.0,6.0,0.0,3.0,0.0,38.0,0.0,29.0,9.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,8.0,3.0,0.0,0.0,0.0,79375.0,79375.0,79375.0,,8595.0,19.0,19.0,0.0,19.0,19.0,0.0,19.0,0.0,0.0,6.0,0.0,13.0,0.0,0.0,0.0,0.0,13.0,0.0,13.0,23.0,0.0,23.0,15.0,0.0,15.0,48.0,0.47,0.84,5.39,6.23,,,,,,,,,,,,,,,,,
Crouse CDP,109,Lincoln,3715640.0,143.0,126.0,1.14,0.0,0.0,19.0,12.0,50.0,13.0,16.0,0.0,33.0,0.0,0.0,0.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,0.0,62.0,0.0,0.0,13.0,49.0,0.0,0.0,0.0,62.0,0.0,13.0,49.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,11.0,17.0,153864.0,153864.0,,,45928.0,44.0,33.0,11.0,33.0,33.0,0.0,33.0,0.0,0.0,0.0,0.0,16.0,17.0,0.0,0.0,0.0,31.0,0.0,31.0,112.0,12.0,100.0,0.0,0.0,0.0,,0.59,1.09,8.66,9.74,,,,,,,,,,,,,,,,,
Cullowhee CDP,99,Jackson,3715880.0,6798.0,1785.2,3.81,30.0,161.0,137.0,55.0,5278.0,704.0,189.0,69.0,95.0,24.0,56.0,0.0,5899.0,639.0,18.0,84.0,0.0,37.0,121.0,6323.0,475.0,1137.0,57.0,146.0,268.0,405.0,223.0,0.0,38.0,1137.0,57.0,414.0,666.0,1399.0,267.0,241.0,126.0,46.0,9.0,241.0,132.0,29.0,20.0,66.0,91.0,96.0,15.0,20.0,0.0,0.0,30168.0,30168.0,92704.0,17066.0,8575.0,1399.0,188.0,1211.0,188.0,181.0,7.0,188.0,0.0,0.0,0.0,22.0,71.0,49.0,0.0,0.0,46.0,359.0,0.0,359.0,2858.0,1553.0,1305.0,80.0,17.0,63.0,74.0,0.57,3.47,16.16,19.63,,,,,,,,,,,,,,,,,
Cypress Landing CDP,13,Beaufort,3716084.0,1383.0,587.2,2.36,46.0,16.0,99.0,6.0,11.0,66.0,98.0,119.0,138.0,499.0,257.0,28.0,1382.0,0.0,0.0,0.0,0.0,0.0,1.0,1366.0,17.0,1205.0,0.0,139.0,435.0,325.0,148.0,37.0,121.0,1205.0,0.0,574.0,631.0,632.0,20.0,0.0,73.0,17.0,12.0,11.0,82.0,0.0,10.0,23.0,67.0,81.0,32.0,67.0,103.0,34.0,80250.0,80250.0,73750.0,140993.0,45976.0,632.0,571.0,61.0,571.0,562.0,9.0,571.0,0.0,10.0,0.0,8.0,188.0,338.0,17.0,10.0,0.0,167.0,6.0,161.0,432.0,9.0,423.0,784.0,31.0,753.0,,0.32,0.87,24.63,25.5,12.0,Town of Aurora Drainage Ditch and Tributary Maintenance and Easement Plan,"The Town of Aurora experiences frequent flooding in heavy rainfall events, specifically in the northeast section of town. The ditches and tributaries no longer empty water at the speed at which they did previously. Aurora participated in the N.C. Resilient Coastal Communities Program and, through a public input process, prioritized assessing this existing infrastructure to address flooding. Golden LEAF flood mitigation grant funds will be used to create a maintenance plan and schedule for all the ditches and tributaries within the town’s jurisdiction and to determine a list of easements that will be required to implement the recommendations for maintenance. The entire town will benefit from the completion of this project.",Town of Aurora,Local Government,Planning,4/27/22,Golden LEAF Foundation Flood Mitigation Program,,,2022.0,8/4/22,225000.0,225000.0,Aurora,Beaufort,
Dallas town,71,Gaston,3716180.0,4744.0,1614.8,2.94,279.0,289.0,239.0,382.0,267.0,555.0,913.0,604.0,641.0,382.0,140.0,53.0,3198.0,1213.0,21.0,55.0,0.0,130.0,127.0,4136.0,608.0,3288.0,690.0,975.0,1192.0,344.0,87.0,0.0,0.0,3288.0,690.0,2167.0,431.0,1673.0,120.0,112.0,164.0,149.0,47.0,78.0,94.0,53.0,99.0,151.0,152.0,161.0,161.0,41.0,48.0,43.0,46189.0,46189.0,63077.0,30724.0,24284.0,1673.0,936.0,737.0,936.0,694.0,242.0,936.0,21.0,67.0,168.0,250.0,419.0,4.0,0.0,0.0,7.0,1173.0,151.0,1022.0,2980.0,481.0,2499.0,575.0,42.0,533.0,7.0,0.64,1.71,6.5,8.2,,,,,,,,,,,,,,,,,
Dana CDP,89,Henderson,3716220.0,3830.0,430.1,8.9,200.0,382.0,395.0,212.0,164.0,347.0,769.0,352.0,347.0,449.0,176.0,37.0,3563.0,116.0,0.0,0.0,0.0,28.0,123.0,2792.0,1038.0,2477.0,453.0,751.0,882.0,302.0,55.0,20.0,14.0,2477.0,453.0,1633.0,391.0,1427.0,47.0,64.0,141.0,193.0,56.0,87.0,29.0,46.0,129.0,50.0,164.0,227.0,110.0,66.0,0.0,18.0,47547.0,47547.0,60234.0,23611.0,21306.0,1427.0,1099.0,328.0,1099.0,929.0,170.0,1099.0,96.0,23.0,179.0,222.0,423.0,123.0,33.0,0.0,0.0,1189.0,312.0,877.0,1979.0,221.0,1758.0,662.0,37.0,625.0,,0.6,0.1,0.87,0.98,,,,,,,,,,,,,,,,,
Danbury town,169,Stokes,3716240.0,211.0,281.3,0.75,0.0,0.0,0.0,25.0,38.0,1.0,22.0,74.0,21.0,23.0,5.0,2.0,197.0,7.0,0.0,0.0,0.0,0.0,7.0,211.0,0.0,148.0,17.0,25.0,45.0,53.0,6.0,0.0,2.0,148.0,17.0,70.0,61.0,60.0,0.0,5.0,4.0,1.0,0.0,2.0,1.0,0.0,2.0,8.0,0.0,36.0,0.0,0.0,0.0,1.0,85909.0,85909.0,86023.0,,22060.0,60.0,59.0,1.0,59.0,59.0,0.0,59.0,0.0,6.0,12.0,25.0,5.0,11.0,0.0,0.0,0.0,25.0,0.0,25.0,98.0,0.0,98.0,23.0,0.0,23.0,73.0,0.36,0.0,3.9,3.9,,,,,,,,,,,,,,,,,
Davidson town,"119, 97","Mecklenburg, Iredell",3716400.0,12920.0,2052.3,6.3,573.0,944.0,916.0,471.0,2252.0,804.0,1355.0,1827.0,1722.0,1304.0,571.0,181.0,11300.0,1035.0,0.0,204.0,7.0,37.0,337.0,12250.0,670.0,7764.0,214.0,397.0,1420.0,3389.0,1628.0,457.0,259.0,7764.0,214.0,1817.0,5733.0,4473.0,119.0,59.0,144.0,88.0,59.0,20.0,138.0,102.0,90.0,282.0,196.0,340.0,494.0,420.0,478.0,1444.0,131144.0,131144.0,150028.0,65641.0,59532.0,4473.0,3555.0,918.0,3555.0,3255.0,300.0,3555.0,41.0,0.0,15.0,28.0,795.0,1206.0,768.0,385.0,317.0,2868.0,194.0,2674.0,6385.0,424.0,5961.0,1999.0,54.0,1945.0,,0.11,0.04,12.44,12.48,,,,,,,,,,,,,,,,,
Davis CDP,31,Carteret,3716480.0,226.0,103.6,2.18,0.0,0.0,23.0,33.0,0.0,0.0,59.0,23.0,0.0,8.0,73.0,7.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,0.0,170.0,0.0,72.0,89.0,0.0,9.0,0.0,0.0,170.0,0.0,161.0,9.0,105.0,0.0,7.0,0.0,25.0,13.0,0.0,9.0,0.0,12.0,7.0,8.0,0.0,9.0,0.0,15.0,0.0,39583.0,39583.0,48542.0,,30658.0,105.0,92.0,13.0,92.0,92.0,0.0,92.0,0.0,0.0,0.0,36.0,25.0,15.0,16.0,0.0,0.0,56.0,0.0,56.0,82.0,0.0,82.0,88.0,0.0,88.0,,0.23,0.0,100.0,100.0,,,,,,,,,,,,,,,,,
Deep Run CDP,107,Lenoir,3716720.0,537.0,189.2,2.84,11.0,41.0,32.0,60.0,13.0,94.0,90.0,39.0,47.0,47.0,15.0,48.0,526.0,11.0,0.0,0.0,0.0,0.0,0.0,533.0,4.0,380.0,52.0,96.0,225.0,7.0,0.0,0.0,0.0,380.0,52.0,321.0,7.0,226.0,0.0,11.0,0.0,0.0,15.0,0.0,48.0,0.0,0.0,12.0,33.0,77.0,30.0,0.0,0.0,0.0,67045.0,67045.0,75519.0,,27047.0,226.0,182.0,44.0,182.0,182.0,0.0,182.0,0.0,45.0,130.0,7.0,0.0,0.0,0.0,0.0,0.0,144.0,0.0,144.0,283.0,18.0,265.0,110.0,0.0,110.0,,0.81,0.68,8.82,9.5,11.0,Engineering Costs for Planning and Development of Flood Mitigation Solutions for the Adkin Branch Stream,"The City of Kinston experiences flooding along Adkin Branch which runs through many residential areas and commercial/business districts. When flooding occurs along Adkin Branch, residents are restricted from accessing emergency services and nearby medical offices. The city will use Golden LEAF flood mitigation grant funds to review existing data sources, collect additional data from field surveys, begin permitting processes, and to update existing models as needed. The city will also use funds for project coordination, and to develop a plan for flood mitigation solutions. The city has committed to funding remaining costs associated with this project from its stormwater utility fund. The city has also received funding from North Carolina Emergency Management for Stage 2 improvements along Adkin Branch. Households in the immediate project area and surrounding areas in the city will benefit from this project.",City of Kinston,Local Government,Planning,3/21/22,Golden LEAF Foundation Flood Mitigation Program,,,2022.0,8/4/22,250000.0,250000.0,Kinston,Lenoir,
Deercroft CDP,165,Scotland,3716730.0,549.0,425.1,1.29,26.0,44.0,7.0,0.0,25.0,48.0,70.0,116.0,87.0,86.0,14.0,26.0,512.0,0.0,18.0,14.0,0.0,0.0,5.0,549.0,0.0,447.0,26.0,160.0,153.0,86.0,22.0,0.0,0.0,447.0,26.0,313.0,108.0,181.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,38.0,17.0,37.0,24.0,7.0,35.0,0.0,77404.0,77404.0,86711.0,,32671.0,181.0,140.0,41.0,140.0,140.0,0.0,140.0,0.0,0.0,0.0,17.0,110.0,13.0,0.0,0.0,0.0,77.0,0.0,77.0,346.0,0.0,346.0,126.0,0.0,126.0,,0.77,,,,,,,,,,,,,,,,,,,,
Delco CDP,47,Columbus,3716780.0,128.0,84.9,1.51,0.0,0.0,0.0,0.0,7.0,27.0,12.0,0.0,20.0,62.0,0.0,0.0,88.0,0.0,40.0,0.0,0.0,0.0,0.0,128.0,0.0,121.0,0.0,32.0,62.0,27.0,0.0,0.0,0.0,121.0,0.0,94.0,27.0,57.0,0.0,10.0,0.0,9.0,0.0,7.0,10.0,0.0,0.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,35625.0,35625.0,35625.0,,18527.0,57.0,57.0,0.0,57.0,57.0,0.0,57.0,9.0,0.0,17.0,20.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,66.0,62.0,10.0,52.0,,0.79,0.0,19.61,19.61,14.0,Hickman Road Flood Mitigation,The Town of Tabor City reports that the existing drainage ditch running perpendicular to Hickman Road in the southern part of town is prone to frequent flooding during heavy rain events. Streets and residential properties in the area are often left flooded for extended periods of time. Golden LEAF flood mitigation grant funds will be used to install infrastructure to enclose the ditch and improve drainage to eliminate flooding in the area. An exposed water line running along the slope of the ditch will be abandoned and water services will be reconnected to existing water lines located upstream. Households and vehicles traveling on adjacent roads in the immediate project area will benefit from this project.,Town of Tabor City,Local Government,Infrastructure,5/10/22,Golden LEAF Foundation Flood Mitigation Program,,,2022.0,8/4/22,175000.0,175000.0,Tabor City,Columbus,
Dellview town,71,Gaston,3716820.0,25.0,221.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,25.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,25.0,0.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,,,,,,25.0,25.0,0.0,25.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,25.0,0.0,0.0,0.0,,0.56,,,,,,,,,,,,,,,,,,,,
Delway CDP,163,Sampson,3716860.0,30.0,3.1,9.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,17.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,30.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,30.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,13.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,30.0,41.0,0.85,0.0,2.23,2.23,9.0,Clinton Weeks Street Hazard Mitigation Project 2022,"The City of Clinton experiences frequent flooding along Weeks Street, including three major flooding events in 2021. During flooding events along Weeks Street, emergency vehicles are unable to access residences and surrounding roads (including Highway 24) are overtopped. A 2020 preliminary drainage feasibility study found that flooding is likely caused by an undersized pipe system with minimal elevation change. Currently, the existing drainage route runs along Weeks Street into the drainage route from Smithfield Packing Company. Golden LEAF flood mitigation grant funds will be used to reroute the existing drainage system into a separate path to cross Highway 24 and into an existing farm ditch. Additional curb inlets and reinforced concrete pipe will be installed to support the design. City and other funds will be used to improve the existing farm ditch which currently collects runoff. Households in the project area and vehicles traveling on adjacent roads will benefit from this project.",Town of Clinton,Local Government,Infrastructure,2/28/22,Golden LEAF Foundation Flood Mitigation Program,,,2022.0,8/4/22,250000.0,250000.0,Clinton,Sampson,
Denton town,57,Davidson,3716980.0,1355.0,644.4,2.1,41.0,88.0,106.0,77.0,129.0,139.0,162.0,172.0,186.0,163.0,49.0,43.0,1300.0,0.0,0.0,26.0,0.0,0.0,29.0,1320.0,35.0,914.0,183.0,336.0,252.0,97.0,35.0,8.0,3.0,914.0,183.0,588.0,143.0,584.0,49.0,58.0,68.0,26.0,35.0,55.0,38.0,19.0,38.0,34.0,19.0,79.0,55.0,5.0,4.0,2.0,35250.0,35250.0,48750.0,28750.0,20120.0,584.0,328.0,256.0,328.0,328.0,0.0,328.0,4.0,6.0,158.0,76.0,38.0,19.0,27.0,0.0,0.0,292.0,54.0,238.0,788.0,124.0,664.0,255.0,46.0,209.0,68.0,0.61,,,,,,,,,,,,,,,,,,,,
Denver CDP,109,Lincoln,3717000.0,2964.0,500.1,5.93,228.0,210.0,113.0,58.0,155.0,249.0,456.0,422.0,525.0,340.0,148.0,60.0,2627.0,147.0,0.0,116.0,0.0,0.0,74.0,2856.0,108.0,2200.0,128.0,637.0,908.0,370.0,97.0,23.0,37.0,2200.0,128.0,1545.0,527.0,1268.0,108.0,55.0,44.0,68.0,161.0,136.0,0.0,30.0,61.0,137.0,104.0,47.0,161.0,16.0,81.0,59.0,46311.0,46311.0,59625.0,31966.0,30053.0,1268.0,789.0,479.0,789.0,748.0,41.0,789.0,64.0,20.0,113.0,63.0,390.0,132.0,0.0,7.0,0.0,609.0,0.0,609.0,1807.0,226.0,1581.0,548.0,39.0,509.0,,0.28,0.23,1.99,2.22,,,,,,,,,,,,,,,,,
Dillsboro town,99,Jackson,3717180.0,219.0,458.0,0.48,6.0,10.0,5.0,15.0,16.0,43.0,31.0,17.0,14.0,24.0,34.0,4.0,182.0,2.0,5.0,0.0,0.0,6.0,24.0,217.0,2.0,167.0,5.0,30.0,44.0,46.0,33.0,2.0,7.0,167.0,5.0,74.0,88.0,114.0,10.0,8.0,18.0,6.0,2.0,6.0,6.0,0.0,5.0,4.0,17.0,21.0,6.0,2.0,3.0,0.0,48000.0,48000.0,73750.0,17054.0,29304.0,114.0,59.0,55.0,59.0,56.0,3.0,59.0,0.0,0.0,12.0,4.0,39.0,2.0,2.0,0.0,0.0,31.0,5.0,26.0,121.0,11.0,110.0,62.0,8.0,54.0,64.0,0.35,7.31,16.5,23.82,,,,,,,,,,,,,,,,,
Dobbins Heights town,153,Richmond,3717325.0,836.0,947.0,0.88,49.0,26.0,43.0,16.0,96.0,194.0,43.0,82.0,138.0,115.0,32.0,2.0,165.0,631.0,27.0,0.0,0.0,2.0,11.0,802.0,34.0,606.0,122.0,251.0,185.0,48.0,0.0,0.0,0.0,606.0,122.0,436.0,48.0,425.0,124.0,7.0,85.0,38.0,19.0,33.0,5.0,7.0,0.0,11.0,59.0,27.0,8.0,0.0,2.0,0.0,19583.0,19583.0,24453.0,15324.0,15064.0,425.0,226.0,199.0,226.0,32.0,194.0,226.0,8.0,115.0,85.0,5.0,10.0,3.0,0.0,0.0,0.0,134.0,65.0,69.0,553.0,176.0,377.0,149.0,16.0,133.0,52.0,0.88,0.0,0.84,0.84,,,,,,,,,,,,,,,,,
Dobson town,171,Surry,3717340.0,1511.0,744.1,2.03,59.0,41.0,51.0,93.0,147.0,199.0,203.0,244.0,121.0,186.0,97.0,70.0,1279.0,88.0,0.0,87.0,0.0,17.0,40.0,1384.0,127.0,1120.0,155.0,285.0,419.0,182.0,53.0,22.0,4.0,1120.0,155.0,704.0,261.0,594.0,68.0,47.0,43.0,17.0,31.0,26.0,10.0,37.0,23.0,78.0,69.0,45.0,64.0,16.0,10.0,10.0,46957.0,46957.0,72500.0,30000.0,26955.0,594.0,282.0,312.0,282.0,256.0,26.0,282.0,0.0,18.0,73.0,94.0,74.0,23.0,0.0,0.0,0.0,229.0,14.0,215.0,780.0,132.0,648.0,287.0,28.0,259.0,77.0,0.67,0.0,0.42,0.42,,,,,,,,,,,,,,,,,
Dortches town,127,Nash,3717520.0,978.0,120.9,8.09,40.0,29.0,45.0,25.0,139.0,55.0,106.0,175.0,158.0,124.0,66.0,16.0,628.0,330.0,10.0,0.0,0.0,0.0,10.0,968.0,10.0,700.0,71.0,217.0,238.0,107.0,46.0,18.0,3.0,700.0,71.0,455.0,174.0,351.0,23.0,4.0,6.0,11.0,15.0,11.0,21.0,18.0,18.0,35.0,54.0,34.0,31.0,15.0,18.0,37.0,63942.0,63942.0,72222.0,36382.0,36274.0,351.0,288.0,63.0,288.0,202.0,86.0,288.0,4.0,7.0,53.0,67.0,128.0,25.0,4.0,0.0,0.0,139.0,18.0,121.0,633.0,57.0,576.0,206.0,14.0,192.0,6.0,0.49,0.16,1.51,1.67,,,,,,,,,,,,,,,,,
